baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_id
ACADM|34	2162.39033893508	-0.167088879671167	0.0747469811160925	-2.23539301756756	0.0253915581141505	0.0410543819603146	ACADM|34
ACADS|35	1059.60933863933	-0.047372651517365	0.103226444383052	-0.458919725468551	0.646291813122058	0.733436053098186	ACADS|35
ACADSB|36	5350.41879498107	0.328252400311972	0.0987357727024137	3.32455392131597	0.000885601063138169	0.00181617008767226	ACADSB|36
ACADVL|37	13891.1919395869	0.0324509186395092	0.081148112360744	0.399897393734171	0.689232091977932	0.773773174492805	ACADVL|37
ACAT1|38	3402.83674342058	0.234744941577845	0.087263655490024	2.69006541451476	0.00714380142507609	0.0127378687544032	ACAT1|38
ACAT2|39	2364.86164873677	-0.133656705644656	0.112423178432443	-1.18887143655142	0.234490261645464	0.306294923383227	ACAT2|39
ACCN1|40	50.4244340724279	1.70556023484043	0.347587356032437	4.90685350096931	9.25491077264395e-07	2.92664667746987e-06	ACCN1|40
ACCN2|41	569.054889173733	0.539467465678881	0.0999613868326047	5.39675851618859	6.78556167435501e-08	2.49514325243763e-07	ACCN2|41
ACHE|43	346.400462136719	0.167148720704595	0.17868229243107	0.935452072113278	0.349555372103367	0.434464746534036	ACHE|43
ACLY|47	18204.0619033489	0.571789997334475	0.0882931264343552	6.47604202530526	9.41598322876318e-11	4.92692136543078e-10	ACLY|47
ACO1|48	2855.14772812479	-0.476688220232046	0.0651439782527206	-7.31745639455382	2.52715214741615e-13	1.79965805892571e-12	ACO1|48
ACR|49	9.34587099395825	0.280744431889795	0.160797861334836	1.74594630525085	0.0808202825647556	0.118154759756666	ACR|49
ACO2|50	7750.53204265061	-0.0801590278951982	0.0504082501947398	-1.59019659650005	0.111790497459496	0.158324257958729	ACO2|50
ACOX1|51	5685.49879011544	0.0427378591368401	0.0524470423068285	0.814876440254015	0.41514304018866	0.504769343909344	ACOX1|51
ACP1|52	4054.68033698548	0.190891027452313	0.0426922150742386	4.47133106399769	7.77342525973523e-06	2.17181109991097e-05	ACP1|52
ACP2|53	4035.70709002118	0.292035790823744	0.0760033830666031	3.84240515409463	0.000121834501103286	0.000284030200568985	ACP2|53
ACP5|54	1890.728315074	0.0975296262078182	0.190528909742952	0.511888858963179	0.608728795848809	0.698098459888649	ACP5|54
ACPP|55	269819.261784399	-0.830911189468618	0.200453288568614	-4.14516117646133	3.39574772604585e-05	8.61041150233284e-05	ACPP|55
ACRV1|56	16.1390378516455	0.359521110344344	0.230985386207004	1.55646691008474	0.1195971052565	0.16833801798269	ACRV1|56
ACTA1|58	849.015549013152	-0.240181884313182	0.41492195826016	-0.578860384541484	0.562683382623249	0.654412219300892	ACTA1|58
ACTA2|59	60942.0124719545	-1.29976637843971	0.160605488854603	-8.09291380829703	5.82540880021215e-16	5.74912020528714e-15	ACTA2|59
ACTB|60	158030.14504485	-0.607599537806477	0.0712071742210424	-8.53284159149972	1.42796152214307e-17	1.71259604750196e-16	ACTB|60
ACTC1|70	1831.76253777293	-2.58405466611411	0.312045601688747	-8.28101614677331	1.2212862677382e-16	1.31913671609789e-15	ACTC1|70
ACTG1|71	133528.787992087	0.311415604069177	0.0623590975578145	4.99390812672451	5.91695532913281e-07	1.91730797971521e-06	ACTG1|71
ACTG2|72	57822.9532425229	-1.66970981542172	0.19444094105994	-8.5872337704177	8.90882496876962e-18	1.09557112977519e-16	ACTG2|72
ACTN4|81	18026.5336793561	-0.471097912774291	0.0507273075446465	-9.28687004252423	1.58892057470634e-20	2.8463095431602e-19	ACTN4|81
ACTL6A|86	1871.66239484103	0.249311065654346	0.0597370141834147	4.17347718265377	2.99985717074907e-05	7.66885764120918e-05	ACTL6A|86
ACTN1|87	13936.9639611323	-0.876140461241953	0.0955169991831	-9.17261292476795	4.61689787028234e-20	7.77480857967323e-19	ACTN1|87
ACTN2|88	374.302359335267	-0.281504092803423	0.425674915436275	-0.661312383218326	0.5084120016783	0.600417632003031	ACTN2|88
ACTN3|89	4.16877426439527	-1.28931883096998	0.201602677262744	-6.39534577851686	1.60184445769623e-10	8.12237139428387e-10	ACTN3|89
ACVR1|90	1455.30945498716	-0.139223915757241	0.0647124509479908	-2.15142393338084	0.0314427538063932	0.0499594090490304	ACVR1|90
ACVR1B|91	3154.26542271653	-0.214892054382415	0.0649504410551127	-3.3085541975007	0.000937790317922974	0.00191560886522245	ACVR1B|91
ACVR2A|92	1072.4800445173	-0.190371891601958	0.0623110886996384	-3.05518480859191	0.00224921878794572	0.00433214691932084	ACVR2A|92
ACVR2B|93	769.245420855522	0.29168994870733	0.0824015011599772	3.53986207291336	0.000400336199072352	0.000865203021596977	ACVR2B|93
ACVRL1|94	704.748232463738	-0.934428918036116	0.114297699163434	-8.17539569803567	2.94896446363253e-16	3.02414921976998e-15	ACVRL1|94
ACY1|95	3193.61757558476	0.768281902608821	0.0952355626275516	8.06717450301026	7.19436866004009e-16	7.04711340509604e-15	ACY1|95
