baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	miRNA_id
hsa-mir-486-2	61.2372292176251	-1.14556582485523	0.180297449768191	-6.35375501055665	2.10121391700016e-10	1.30539982717569e-09	hsa-mir-486-2
hsa-mir-488	1.13342277218811	-1.96644331755705	0.295182269704593	-6.66179347263978	2.70505985364811e-11	1.83990709011066e-10	hsa-mir-488
hsa-mir-490	7.19175299906213	-2.82026403940432	0.485801347958936	-5.80538537254678	6.42181265057000e-09	3.42352039277009e-08	hsa-mir-490
hsa-mir-496	5.47900363684533	-1.13779312191288	0.111489324370235	-10.2053997397499	1.87547266422358e-24	3.01989373892328e-23	hsa-mir-496
hsa-mir-508	15.391559189132	-1.00850332690525	0.245268080493704	-4.11184090842648	3.9251674849082e-05	0.000129039881066357	hsa-mir-508
hsa-mir-509-3	1.24669750365235	-1.00966657711058	0.350702792639541	-2.87898071615398	0.00398962728535597	0.00993001870077559	hsa-mir-509-3
hsa-mir-514a-1	1.97409951917069	-1.4667531750495	0.314338713438672	-4.66615504976822	3.06888162116944e-06	1.15302266623938e-05	hsa-mir-514a-1
hsa-mir-514a-2	2.04543466720783	-1.34488117469529	0.300325049513986	-4.47808525086968	7.53155259555215e-06	2.68886651488265e-05	hsa-mir-514a-2
hsa-mir-514a-3	1.98327693671089	-1.49663981093596	0.290220644427664	-5.15690334120593	2.51067322534296e-07	1.11916450553423e-06	hsa-mir-514a-3
hsa-mir-541	0.956471899763338	-1.17525110138428	0.236800774202277	-4.96303741127288	6.93992079134071e-07	2.9438696260042e-06	hsa-mir-541
hsa-mir-551b	1.35959111771649	-1.2858398774966	0.269382435173062	-4.77328774858881	1.81242546960058e-06	7.18594821866762e-06	hsa-mir-551b
hsa-mir-552	0.387620243842126	-1.06660323282843	0.33313386352542	-3.20172564128127	0.00136607039427164	0.00366608687442288	hsa-mir-552
hsa-mir-585	0.90517723540459	-1.37989467273342	0.265349227085199	-5.20029655971208	1.98970797972765e-07	8.91977043184724e-07	hsa-mir-585
hsa-mir-6499	0.555680850588569	-1.38123508444652	0.311669087752354	-4.43173589786364	9.34774701850253e-06	3.30734188233116e-05	hsa-mir-6499
hsa-mir-6510	25.7047899342365	-1.50552772722892	0.250673933230091	-6.00592055116881	1.90249341566918e-09	1.07990453594459e-08	hsa-mir-6510
hsa-mir-652	44.7704727440904	-1.2378990529967	0.0965467772963373	-12.8217542590483	1.23865942646244e-37	5.42945715266036e-36	hsa-mir-652
hsa-mir-6718	1.77156608372909	-2.9396320546783	0.294089837870922	-9.99569409116586	1.59168221680237e-23	2.3256245723279e-22	hsa-mir-6718
hsa-mir-675	16.017725238198	-1.32638186751364	0.283739539012655	-4.67464588167419	2.94461263606458e-06	1.11162649275356e-05	hsa-mir-675
hsa-mir-6761	2.37927191471866	-1.26051023272668	0.14832038825623	-8.49856346484945	1.91951295315118e-17	2.01932762671505e-16	hsa-mir-6761
hsa-mir-6843	0.290850238208191	-2.28042780254906	0.433295863224019	-5.26298078541787	1.41738396774792e-07	6.54012482131076e-07	hsa-mir-6843
hsa-mir-760	1.92153090026616	-1.28324120027622	0.161442109368753	-7.94861517415598	1.88607940928407e-15	1.7929116312351e-14	hsa-mir-760
hsa-mir-873	0.968632860443634	-2.96939068708063	0.325994998680179	-9.10870013068447	8.33748770222009e-20	1.02785590578932e-18	hsa-mir-873
hsa-mir-876	0.272382555931144	-1.55352337729224	0.44798753356016	-3.46778260757924	0.000524771627742629	0.00153349931218124	hsa-mir-876
hsa-mir-888	0.568242185869339	-4.24013125086676	0.71532780324877	-5.92753592354381	3.07514091136482e-09	1.72077033976372e-08	hsa-mir-888
hsa-mir-889	53.3894763311904	-1.27716316534482	0.0985527837072117	-12.9591790033969	2.08466728066833e-38	1.09653498963154e-36	hsa-mir-889
hsa-mir-891a	41.42296315679	-3.93180209450325	0.237389115914618	-16.5626889815681	1.29667196196453e-61	5.11537088995008e-59	hsa-mir-891a
hsa-mir-891b	0.185737986098755	-2.64519588889496	1.10729808391229	-2.3888742582747	0.0169000853957022	0.0375610348653775	hsa-mir-891b
hsa-mir-892a	1.91209859900172	-5.45600280669394	0.438691626406061	-12.4369887143543	1.64592750414899e-35	6.18398476558833e-34	hsa-mir-892a
hsa-mir-892b	0.164502126683381	-2.69229539839244	1.33457146679415	-2.01734823902668	0.0436591848322144	0.0878752470219825	hsa-mir-892b
hsa-mir-944	7.5351638335719	-1.01596440497124	0.194866855389451	-5.21363370359103	1.85176949817929e-07	8.3968168624337e-07	hsa-mir-944
