baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	miRNA_id
hsa-mir-19a	76.661003793169	1.04369653212998	0.128301895458499	8.13469300979719	4.12983521719419e-16	4.02276541526693e-15	hsa-mir-19a
hsa-mir-19b-1	331.50520381928	1.24187096067535	0.10731057625229	11.572680010176	5.66839391572909e-31	1.49078759983675e-29	hsa-mir-19b-1
hsa-mir-19b-2	311.478438295277	1.28133424939183	0.109178846144527	11.7361036010185	8.32335082355589e-32	2.26452544820193e-30	hsa-mir-19b-2
hsa-mir-200c	48337.52176343	1.5160695169683	0.103781044563727	14.6083470574181	2.48473464093141e-48	4.90113907923721e-46	hsa-mir-200c
hsa-mir-20a	980.087382622159	1.62391116469872	0.114352061863196	14.2009784365888	9.03421601572244e-46	1.1879994060675e-43	hsa-mir-20a
hsa-mir-20b	822.923743640328	1.27696900258239	0.148775928797516	8.58316942064161	9.22942710995088e-18	9.97536710924828e-17	hsa-mir-20b
hsa-mir-210	425.670644039594	1.30895503021063	0.226573334281287	5.77718041870534	7.59628188303349e-09	3.99564427047562e-08	hsa-mir-210
hsa-mir-2115	1.67087025893687	1.79079563332922	0.410266850392271	4.36495327764594	1.2714993257523e-05	4.40005687727442e-05	hsa-mir-2115
hsa-mir-25	25197.4133568873	1.01504368233475	0.0803844810538668	12.6273587765598	1.49202645718553e-36	6.19583618273361e-35	hsa-mir-25
hsa-mir-3074	19.6921529062101	1.83485429606641	0.163276748855643	11.2376949499935	2.66243498710081e-29	6.36564001461377e-28	hsa-mir-3074
hsa-mir-3152	1.47680449141904	1.50180454194791	0.477361184690225	3.1460550000991	0.00165488881986732	0.00438156804991717	hsa-mir-3152
hsa-mir-3170	2.0114035109735	1.60804181737754	0.288419988450947	5.57534804024522	2.47035468258528e-08	1.21819365284986e-07	hsa-mir-3170
hsa-mir-3189	0.601834862025309	1.56801871255084	0.383901202004233	4.08443293317313	4.41845852516298e-05	0.000144056354394777	hsa-mir-3189
hsa-mir-3614	2.54705378321791	1.33129388409217	0.258779589861271	5.14450882624036	2.68221643060159e-07	1.1889150358116e-06	hsa-mir-3614
hsa-mir-3651	4.60894147863699	2.69177624200687	0.336822551221281	7.99167464365671	1.33117969799481e-15	1.2808546118511e-14	hsa-mir-3651
hsa-mir-3653	22.4567369964964	1.85908974005609	0.170091681101799	10.9299274838928	8.29146568087565e-28	1.81721289505858e-26	hsa-mir-3653
hsa-mir-3664	1.14932550416063	1.46537466461681	0.312135774318184	4.69467066957549	2.67036582769319e-06	1.02277603788832e-05	hsa-mir-3664
hsa-mir-375	391791.00565075	1.87410750423256	0.133261721379858	14.0633595666266	6.37848163155808e-45	7.18946001042761e-43	hsa-mir-375
hsa-mir-425	416.784459099965	1.16635243382106	0.111304899014861	10.4788957552114	1.07997323471577e-25	1.93658836861532e-24	hsa-mir-425
hsa-mir-4326	7.9807084714688	1.11866966427712	0.203203313304111	5.50517433051369	3.68803135065665e-08	1.79620786152352e-07	hsa-mir-4326
hsa-mir-4449	3.51330625636812	2.07806538104812	0.327431205872358	6.34657095529925	2.20167025735185e-10	1.35712330707079e-09	hsa-mir-4449
hsa-mir-4461	5.17027388602512	1.01705702117502	0.270954227083941	3.75361193704479	0.000174304641430929	0.000539319067015697	hsa-mir-4461
hsa-mir-449a	5.5049947398688	3.55937384471734	0.528465842623256	6.73529594088606	1.63596612382128e-11	1.15247970687053e-10	hsa-mir-449a
hsa-mir-449b	0.78402403320598	1.84525429058974	0.624285413159737	2.95578633056671	0.00311873064670073	0.00791214945417002	hsa-mir-449b
hsa-mir-4501	0.931467558059747	1.28523415255564	0.392620612166943	3.27347600387612	0.00106233410326974	0.00289028140510284	hsa-mir-4501
